Home_Team,Home_Goals,Away_Goals,Away_Team
Flamengo,3,0,Coritiba
Botafogo,2,1,São Paulo
Palmeiras,2,1,Cuiabá
Corinthians,2,1,Cruzeiro
Bragantino,2,1,Bahia
Atlético-MG,1,2,Vasco
Grêmio,1,0,Santos
Athletico-PR,2,0,Goiás
Fortaleza,1,1,Internacional
América-MG,0,3,Fluminense
Fluminense,2,0,Athletico-PR
Vasco,2,2,Palmeiras
São Paulo,3,0,América-MG
Santos,0,0,Atlético-MG
Goiás,3,1,Corinthians
Cruzeiro,1,0,Grêmio
Internacional,2,1,Flamengo
Coritiba,0,3,Fortaleza
Bahia,1,2,Botafogo
Cuiabá,1,1,Bragantino
Flamengo,2,3,Botafogo
Vasco,0,1,Bahia
Palmeiras,2,1,Corinthians
Santos,3,2,América-MG
Bragantino,0,3,Cruzeiro
Atlético-MG,2,1,Athletico-PR
Internacional,1,0,Goiás
Coritiba,1,1,São Paulo
Fortaleza,4,2,Fluminense
Cuiabá,1,2,Grêmio
Fluminense,1,1,Vasco
Botafogo,2,0,Atlético-MG
São Paulo,2,0,Internacional
Corinthians,1,1,Fortaleza
Goiás,0,5,Palmeiras
Cruzeiro,2,1,Santos
Grêmio,3,3,Bragantino
Athletico-PR,2,1,Flamengo
Bahia,3,1,Coritiba
América-MG,1,2,Cuiabá
Flamengo,2,0,Goiás
Botafogo,3,0,Corinthians
Palmeiras,4,1,Grêmio
Santos,3,0,Bahia
Bragantino,2,2,América-MG
Cruzeiro,0,2,Fluminense
Internacional,0,2,Athletico-PR
Coritiba,1,1,Vasco
Fortaleza,0,0,São Paulo
Cuiabá,0,4,Atlético-MG
Fluminense,2,0,Cuiabá
Vasco,0,1,Santos
Palmeiras,1,1,Bragantino
Corinthians,1,1,São Paulo
Goiás,2,1,Botafogo
Atlético-MG,2,0,Internacional
Grêmio,0,0,Fortaleza
Athletico-PR,3,2,Coritiba
Bahia,2,3,Flamengo
América-MG,0,4,Cruzeiro
Flamengo,1,0,Corinthians
Botafogo,1,0,Fluminense
São Paulo,4,2,Vasco
Santos,0,0,Palmeiras
Bragantino,2,0,Athletico-PR
Cruzeiro,0,1,Cuiabá
Grêmio,3,1,Internacional
Coritiba,1,2,Atlético-MG
Bahia,1,1,Goiás
América-MG,2,1,Fortaleza
Flamengo,1,1,Cruzeiro
Botafogo,2,0,América-MG
São Paulo,2,1,Goiás
Corinthians,2,0,Fluminense
Bragantino,2,0,Santos
Atlético-MG,1,1,Palmeiras
Internacional,2,0,Bahia
Athletico-PR,1,2,Grêmio
Fortaleza,2,0,Vasco
Cuiabá,1,1,Coritiba
Fluminense,2,1,Bragantino
Vasco,1,4,Flamengo
Palmeiras,3,1,Coritiba
Santos,1,1,Internacional
Goiás,0,1,Cuiabá
Cruzeiro,0,1,Atlético-MG
Grêmio,2,1,São Paulo
Athletico-PR,1,0,Botafogo
Fortaleza,0,0,Bahia
América-MG,2,0,Corinthians
Flamengo,3,0,Grêmio
Botafogo,2,0,Fortaleza
São Paulo,0,2,Palmeiras
Corinthians,1,1,Cuiabá
Goiás,2,2,Fluminense
Atlético-MG,1,1,Bragantino
Internacional,2,1,Vasco
Coritiba,0,0,Santos
Bahia,2,2,Cruzeiro
América-MG,2,2,Athletico-PR
Fluminense,1,1,Atlético-MG
Vasco,0,1,Goiás
São Paulo,2,1,Athletico-PR
Santos,0,2,Corinthians
Bragantino,4,0,Flamengo
Cruzeiro,0,1,Fortaleza
Grêmio,3,1,América-MG
Coritiba,0,1,Internacional
Bahia,1,0,Palmeiras
Cuiabá,0,1,Botafogo
Fluminense,2,1,Bahia
Vasco,1,0,Cuiabá
Palmeiras,0,1,Botafogo
Santos,2,3,Flamengo
Bragantino,2,0,Goiás
Cruzeiro,1,0,São Paulo
Grêmio,5,1,Coritiba
Athletico-PR,1,0,Corinthians
Fortaleza,2,1,Atlético-MG
América-MG,1,2,Internacional
Flamengo,2,0,Fortaleza
Botafogo,2,0,Vasco
São Paulo,1,0,Fluminense
Corinthians,0,1,Bragantino
Goiás,1,2,Coritiba
Atlético-MG,2,2,América-MG
Internacional,0,0,Cruzeiro
Athletico-PR,2,2,Palmeiras
Bahia,1,2,Grêmio
Cuiabá,3,0,Santos
Fluminense,2,0,Internacional
Vasco,0,1,Cruzeiro
Palmeiras,1,1,Flamengo
Santos,4,3,Goiás
Bragantino,0,0,São Paulo
Atlético-MG,0,1,Corinthians
Grêmio,0,2,Botafogo
Coritiba,3,1,América-MG
Fortaleza,1,0,Athletico-PR
Cuiabá,1,1,Bahia
Fluminense,0,0,Flamengo
Botafogo,2,0,Bragantino
São Paulo,4,1,Santos
Corinthians,4,4,Grêmio
Goiás,0,0,Atlético-MG
Cruzeiro,0,0,Coritiba
Internacional,0,0,Palmeiras
Athletico-PR,2,0,Bahia
Fortaleza,0,1,Cuiabá
América-MG,0,1,Vasco
Flamengo,1,1,América-MG
Vasco,0,2,Athletico-PR
Palmeiras,3,1,Fortaleza
Santos,2,2,Botafogo
Bragantino,0,0,Internacional
Cruzeiro,0,1,Goiás
Grêmio,1,0,Atlético-MG
Coritiba,2,0,Fluminense
Bahia,0,0,Corinthians
Cuiabá,2,1,São Paulo
Fluminense,1,0,Santos
Botafogo,4,1,Coritiba
São Paulo,0,0,Bahia
Corinthians,3,1,Vasco
Goiás,1,1,Grêmio
Atlético-MG,1,2,Flamengo
Internacional,1,2,Cuiabá
Athletico-PR,3,3,Cruzeiro
Fortaleza,0,3,Bragantino
América-MG,1,4,Palmeiras
Fluminense,2,1,Palmeiras
Vasco,1,0,Grêmio
São Paulo,0,2,Atlético-MG
Santos,1,1,Athletico-PR
Goiás,1,0,Fortaleza
Cruzeiro,0,0,Botafogo
Internacional,2,2,Corinthians
Coritiba,0,1,Bragantino
Bahia,3,1,América-MG
Cuiabá,3,0,Flamengo
Flamengo,1,1,São Paulo
Botafogo,3,1,Internacional
Palmeiras,1,0,Cruzeiro
Corinthians,3,1,Coritiba
Bragantino,1,1,Vasco
Atlético-MG,1,0,Bahia
Grêmio,2,1,Fluminense
Athletico-PR,2,0,Cuiabá
Fortaleza,4,0,Santos
América-MG,0,1,Goiás
Fluminense,3,1,América-MG
Vasco,1,0,Atlético-MG
São Paulo,0,0,Botafogo
Santos,2,1,Grêmio
Goiás,1,1,Athletico-PR
Cruzeiro,1,1,Corinthians
Internacional,0,1,Fortaleza
Coritiba,2,3,Flamengo
Bahia,4,0,Bragantino
Cuiabá,0,2,Palmeiras
Flamengo,0,0,Internacional
Botafogo,3,0,Bahia
Palmeiras,1,0,Vasco
Corinthians,1,1,Goiás
Bragantino,2,0,Cuiabá
Atlético-MG,2,0,Santos
Grêmio,3,0,Cruzeiro
Athletico-PR,2,2,Fluminense
Fortaleza,3,1,Coritiba
América-MG,2,1,São Paulo
Fluminense,1,0,Fortaleza
Botafogo,1,2,Flamengo
São Paulo,2,1,Coritiba
Corinthians,0,0,Palmeiras
Goiás,0,0,Internacional
Cruzeiro,0,0,Bragantino
Grêmio,2,0,Cuiabá
Athletico-PR,1,1,Atlético-MG
Bahia,1,1,Vasco
América-MG,2,0,Santos
Flamengo,0,3,Athletico-PR
Vasco,4,2,Fluminense
Palmeiras,1,0,Goiás
Santos,0,3,Cruzeiro
Bragantino,2,0,Grêmio
Atlético-MG,1,0,Botafogo
Internacional,2,1,São Paulo
Coritiba,2,4,Bahia
Fortaleza,2,1,Corinthians
Cuiabá,2,2,América-MG
Fluminense,2,0,Cruzeiro
Vasco,5,1,Coritiba
São Paulo,1,2,Fortaleza
Corinthians,1,0,Botafogo
Goiás,0,0,Flamengo
Atlético-MG,1,0,Cuiabá
Grêmio,1,0,Palmeiras
Athletico-PR,2,1,Internacional
Bahia,1,2,Santos
América-MG,0,2,Bragantino
Flamengo,1,0,Bahia
Botafogo,1,1,Goiás
São Paulo,2,1,Corinthians
Santos,4,1,Vasco
Bragantino,2,1,Palmeiras
Cruzeiro,1,1,América-MG
Internacional,0,2,Atlético-MG
Coritiba,2,0,Athletico-PR
Fortaleza,1,1,Grêmio
Cuiabá,3,0,Fluminense
Fluminense,0,2,Botafogo
Vasco,0,0,São Paulo
Palmeiras,1,2,Santos
Corinthians,1,1,Flamengo
Goiás,4,6,Bahia
Atlético-MG,1,2,Coritiba
Internacional,3,2,Grêmio
Athletico-PR,1,1,Bragantino
Fortaleza,3,2,América-MG
Cuiabá,0,0,Cruzeiro
Fluminense,3,3,Corinthians
Vasco,1,0,Fortaleza
Palmeiras,0,2,Atlético-MG
Santos,1,3,Bragantino
Goiás,2,0,São Paulo
Cruzeiro,0,2,Flamengo
Grêmio,1,2,Athletico-PR
Coritiba,0,3,Cuiabá
Bahia,1,0,Internacional
América-MG,1,2,Botafogo
Flamengo,1,0,Vasco
Botafogo,1,1,Athletico-PR
São Paulo,3,0,Grêmio
Corinthians,1,1,América-MG
Bragantino,1,0,Fluminense
Atlético-MG,0,1,Cruzeiro
Internacional,7,1,Santos
Coritiba,0,2,Palmeiras
Bahia,2,0,Fortaleza
Cuiabá,1,1,Goiás
Fluminense,5,3,Goiás
Vasco,1,2,Internacional
Palmeiras,5,0,São Paulo
Santos,2,1,Coritiba
Bragantino,1,2,Atlético-MG
Cruzeiro,3,0,Bahia
Grêmio,3,2,Flamengo
Athletico-PR,3,2,América-MG
Fortaleza,2,2,Botafogo
Cuiabá,0,1,Corinthians
Flamengo,1,0,Bragantino
Botafogo,0,1,Cuiabá
Palmeiras,1,0,Bahia
Corinthians,1,1,Santos
Goiás,1,1,Vasco
Atlético-MG,2,0,Fluminense
Internacional,3,4,Coritiba
Athletico-PR,1,1,São Paulo
Fortaleza,0,1,Cruzeiro
América-MG,3,4,Grêmio
Flamengo,1,2,Santos
Botafogo,3,4,Palmeiras
São Paulo,1,0,Cruzeiro
Corinthians,1,0,Athletico-PR
Goiás,0,2,Bragantino
Atlético-MG,3,1,Fortaleza
Internacional,1,1,América-MG
Coritiba,1,2,Grêmio
Bahia,1,0,Fluminense
Cuiabá,0,2,Vasco
Fluminense,1,0,São Paulo
Vasco,1,0,Botafogo
Palmeiras,1,0,Athletico-PR
Santos,0,0,Cuiabá
Bragantino,1,0,Corinthians
Cruzeiro,1,2,Internacional
Grêmio,1,0,Bahia
Coritiba,0,1,Goiás
Fortaleza,0,2,Flamengo
América-MG,1,1,Atlético-MG
Flamengo,3,0,Palmeiras
Botafogo,3,4,Grêmio
São Paulo,1,0,Bragantino
Corinthians,1,1,Atlético-MG
Goiás,0,1,Santos
Cruzeiro,2,2,Vasco
Internacional,0,0,Fluminense
Athletico-PR,1,1,Fortaleza
Bahia,0,3,Cuiabá
América-MG,0,3,Coritiba
Flamengo,1,1,Fluminense
Vasco,2,1,América-MG
Palmeiras,3,0,Internacional
Santos,0,0,São Paulo
Bragantino,2,2,Botafogo
Atlético-MG,2,1,Goiás
Grêmio,0,1,Corinthians
Coritiba,1,0,Cruzeiro
Bahia,1,1,Athletico-PR
Cuiabá,2,1,Fortaleza
Fluminense,2,1,Coritiba
Botafogo,1,1,Santos
São Paulo,0,0,Cuiabá
Corinthians,1,5,Bahia
Goiás,0,1,Cruzeiro
Atlético-MG,3,0,Grêmio
Internacional,1,0,Bragantino
Athletico-PR,0,0,Vasco
Fortaleza,2,2,Palmeiras
América-MG,0,3,Flamengo
Flamengo,0,3,Atlético-MG
Vasco,2,4,Corinthians
Palmeiras,4,0,América-MG
Santos,0,3,Fluminense
Bragantino,1,2,Fortaleza
Cruzeiro,1,1,Athletico-PR
Grêmio,2,1,Goiás
Coritiba,1,1,Botafogo
Bahia,0,1,São Paulo
Cuiabá,0,2,Internacional
Flamengo,2,1,Cuiabá
Botafogo,0,0,Cruzeiro
Palmeiras,1,0,Fluminense
Corinthians,1,2,Internacional
Bragantino,1,0,Coritiba
Atlético-MG,2,1,São Paulo
Grêmio,1,0,Vasco
Athletico-PR,3,0,Santos
Fortaleza,1,0,Goiás
América-MG,3,2,Bahia
Fluminense,2,3,Grêmio
Vasco,2,1,Bragantino
São Paulo,1,0,Flamengo
Santos,1,2,Fortaleza
Goiás,1,0,América-MG
Cruzeiro,1,1,Palmeiras
Internacional,3,1,Botafogo
Coritiba,0,2,Corinthians
Bahia,4,1,Atlético-MG
Cuiabá,3,0,Athletico-PR
